st_cnty_tract,cbsa_cd,cbsa_name,tot_safmr_vau,safmr_vau_share_occ_units
35061970404,10740,"Albuquerque, NM ",212.60001,41.932941
35001000113,10740,"Albuquerque, NM ",278.79999,35.246521
35001003728,10740,"Albuquerque, NM ",947.43347,67.301605
35001003726,10740,"Albuquerque, NM ",38.349125,19.870012
35001000904,10740,"Albuquerque, NM ",464.60001,60.025841
35001003804,10740,"Albuquerque, NM ",69.998497,39.773708
35001000207,10740,"Albuquerque, NM ",180.10001,45.594936
35057963202,10740,"Albuquerque, NM ",218.48932,72.837379
35061971300,10740,"Albuquerque, NM ",41.506706,46.118561
35001002000,10740,"Albuquerque, NM ",593.87952,78.353073
35001000801,10740,"Albuquerque, NM ",474.56763,40.781384
35001001800,10740,"Albuquerque, NM ",317,72.540047
35001002100,10740,"Albuquerque, NM ",805.79999,77.555344
35001003712,10740,"Albuquerque, NM ",84,14.383562
35001004733,10740,"Albuquerque, NM ",0,0
