st_cnty_tract,cbsa_cd,cbsa_name,pov_pct,pov_cat,tot_safmr_vau
36001014002,10580,"Albany-Schenectady-Troy, NY ",7.4685817,Below 10%,361.92001
36091062505,10580,"Albany-Schenectady-Troy, NY ",2.6099224,Below 10%,11.704515
36091061100,10580,"Albany-Schenectady-Troy, NY ",8.6918039,Below 10%,515.84003
36093020900,10580,"Albany-Schenectady-Troy, NY ",27.791262,20-29.9%,369.70001
36093032102,10580,"Albany-Schenectady-Troy, NY ",4.2510123,Below 10%,10
36083051800,10580,"Albany-Schenectady-Troy, NY ",11.007195,10-19.9%,117.59309
36091062100,10580,"Albany-Schenectady-Troy, NY ",11.491713,10-19.9%,218.19495
36083051902,10580,"Albany-Schenectady-Troy, NY ",4.3754411,Below 10%,22
36093033002,10580,"Albany-Schenectady-Troy, NY ",4,Below 10%,17.24
36091062404,10580,"Albany-Schenectady-Troy, NY ",3.0434783,Below 10%,24.820156
36093032902,10580,"Albany-Schenectady-Troy, NY ",2.580353,Below 10%,150.12
36091062602,10580,"Albany-Schenectady-Troy, NY ",3.5187461,Below 10%,250
36083052502,10580,"Albany-Schenectady-Troy, NY ",2.4298055,Below 10%,173.37238
36001002100,10580,"Albany-Schenectady-Troy, NY ",29.216743,20-29.9%,457.65472
36001002600,10580,"Albany-Schenectady-Troy, NY ",16.202347,10-19.9%,507.75299
36001013300,10580,"Albany-Schenectady-Troy, NY ",16.440113,10-19.9%,955
36001013503,10580,"Albany-Schenectady-Troy, NY ",5.8857036,Below 10%,548.0932
36001013507,10580,"Albany-Schenectady-Troy, NY ",6.18964,Below 10%,179.24001
36083052203,10580,"Albany-Schenectady-Troy, NY ",5.9926348,Below 10%,225.22672
36095740300,10580,"Albany-Schenectady-Troy, NY ",,Missing,0
36001014202,10580,"Albany-Schenectady-Troy, NY ",2.7259209,Below 10%,366.49121
36093032404,10580,"Albany-Schenectady-Troy, NY ",6.3428664,Below 10%,457.44
36001014402,10580,"Albany-Schenectady-Troy, NY ",9.7464104,Below 10%,268.52072
36001014613,10580,"Albany-Schenectady-Troy, NY ",4.6078925,Below 10%,195.7448
36001014700,10580,"Albany-Schenectady-Troy, NY ",3.8728535,Below 10%,8.2144518
36001014801,10580,"Albany-Schenectady-Troy, NY ",4.031065,Below 10%,49.747925
36001014802,10580,"Albany-Schenectady-Troy, NY ",6.2033315,Below 10%,25.792578
36083041200,10580,"Albany-Schenectady-Troy, NY ",10.18868,10-19.9%,302.35446
36083052304,10580,"Albany-Schenectady-Troy, NY ",3.6920164,Below 10%,467.36377
36083052603,10580,"Albany-Schenectady-Troy, NY ",4.6257062,Below 10%,51
36093033200,10580,"Albany-Schenectady-Troy, NY ",21.817467,20-29.9%,187.22545
36083051702,10580,"Albany-Schenectady-Troy, NY ",13.11889,10-19.9%,460
36091061401,10580,"Albany-Schenectady-Troy, NY ",9.4365244,Below 10%,170
36001013400,10580,"Albany-Schenectady-Troy, NY ",14.290419,10-19.9%,319
36091061701,10580,"Albany-Schenectady-Troy, NY ",4.7634964,Below 10%,240.28468
36091060501,10580,"Albany-Schenectady-Troy, NY ",7.3593073,Below 10%,95
36001013506,10580,"Albany-Schenectady-Troy, NY ",1.1861056,Below 10%,589.44135
36001013705,10580,"Albany-Schenectady-Troy, NY ",2.9679649,Below 10%,337.98627
36093032700,10580,"Albany-Schenectady-Troy, NY ",9.2976246,Below 10%,319.48001
36093032601,10580,"Albany-Schenectady-Troy, NY ",7.7813249,Below 10%,84.199997
36001001902,10580,"Albany-Schenectady-Troy, NY ",3.6513007,Below 10%,0
36091062406,10580,"Albany-Schenectady-Troy, NY ",2.5719678,Below 10%,275.61234
36001012800,10580,"Albany-Schenectady-Troy, NY ",34.439724,30-39.9%,748.40002
